Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,FBI Code
JK279431,06/02/2026 07:30:00 PM,049XX W HURON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,015,08B
JK279385,06/02/2026 07:27:00 PM,006XX W HARRISON ST,0810,THEFT,OVER $500,STREET,True,False,001,06
JK279362,06/02/2026 07:25:00 PM,113XX S WALLACE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,022,08B
JK279375,06/02/2026 07:23:00 PM,0000X E 57TH ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,SIDEWALK,True,False,002,18
JK279346,06/02/2026 07:21:00 PM,078XX S EBERHART AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,006,14
JK279688,06/02/2026 07:20:00 PM,036XX N RECREATION DR,0810,THEFT,OVER $500,PARK PROPERTY,False,False,019,06
JK279359,06/02/2026 07:17:00 PM,047XX S HOYNE AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,009,08B
JK279386,06/02/2026 07:10:00 PM,037XX E 113TH ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,True,True,004,04B
JK279357,06/02/2026 07:10:00 PM,085XX S SEELEY AVE,1540,OBSCENITY,OBSCENE MATTER,RESIDENCE,True,True,006,26
JK286793,06/02/2026 07:09:00 PM,019XX W 83RD ST,0460,BATTERY,SIMPLE,STREET,False,False,006,08B
JK280248,06/02/2026 07:09:00 PM,003XX E ILLINOIS ST,0810,THEFT,OVER $500,MOVIE HOUSE / THEATER,False,False,018,06
JK286931,06/02/2026 07:09:00 PM,019XX W 83RD ST,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,STREET,False,False,006,04B
JK280222,06/02/2026 07:08:00 PM,021XX W THOMAS ST,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,012,06
JK279371,06/02/2026 07:00:00 PM,049XX S CALUMET AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,002,14
JK280069,06/02/2026 07:00:00 PM,007XX N PINE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,015,06
JK280019,06/02/2026 07:00:00 PM,036XX S SEELEY AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,009,06
JK279975,06/02/2026 07:00:00 PM,024XX S AVERS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,010,26
JK279606,06/02/2026 07:00:00 PM,046XX W JACKSON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,011,07
JK280774,06/02/2026 07:00:00 PM,070XX S WENTWORTH AVE,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),False,False,007,06
JK279840,06/02/2026 07:00:00 PM,051XX W THOMAS ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,015,06
JK280846,06/02/2026 07:00:00 PM,035XX W IRVING PARK RD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,017,26
JK279348,06/02/2026 07:00:00 PM,069XX S SOUTH CHICAGO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,003,15
JK279907,06/02/2026 07:00:00 PM,061XX S DREXEL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,003,07
JK279373,06/02/2026 06:59:00 PM,032XX W 63RD PL,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,TAVERN / LIQUOR STORE,True,False,008,04A
